NatEmis,Official_Institution_Name,CMC,EICircuit,Phase_PED,F,Gr R,Gr 1,Year(s) on the Programme,Matched_GPS_Coordinates,,,Matched_Area
200100101,C W HENDRICKSE PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,96,153,2025,"-33.73998295152604, 25.37248010924203",,,Rosedale
200100106,CARITAS PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,113,144,2025,"-33.732989171076326, 25.371136639931073",,,Rosedale
200100110,CEDARBERG PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,80,151,2025,"-33.863037099997705, 25.467175166921116",,,Bethelsdorp
200100112,CHARLES DUNA PUBLIC SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,139,175,2025,"-33.89639225630235, 25.59388520771042",,,New Brighton
200100126,COLCHESTER (UCC)PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,15,14,2025,"-33.68558525636039, 25.81753076928326",,,Colchester
200100129,COLLEEN GLEN FARM SCHOOL,Central,NM Central-3,2. PRIMARY,2,95,49,2025,"-33.970356289227105, 25.369588438090876",,,Collen Glen AH
200100147,DALROSE FULL SERVICE SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,92,108,2025,"-33.73816345399379, 25.372986566914232",,,Rosedale
200100160,DE VOS MALAN PRIMARY SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,71,103,2025,"-33.929364339371325, 25.566808168778113",,,Schauderville
200100163,DESPATCH PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,75,148,2025,"-33.81641675945413, 25.463054866918604",,,Reservoir Hills
200100168,DIE HEUWEL PRIMARY SCHOOL,Central,NM Central-1,2. PRIMARY,3,77,123,2025,"-33.8998863326174, 25.53230749575941",,,Hillside
200100170,DIETRICH PRIMARY SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,89,107,2025,"-33.93618877062667, 25.57726833808907",,,Gqeberha
200100178,DR A W HABELGAARN PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,29,43,2025,"-33.86621937018218, 25.50371755157656",,,Arcadia
200100184,DUMANI PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,186,216,2025,"-33.81047851563155, 25.604318238081962",,,Motherwell
